City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,mili,171.735,6.0815,28.51,72,100,3.47,MH,2023-10-15 17:37:17
203,ta`u,-169.5144,-14.2336,26.39,78,59,8.6,AS,2023-10-15 17:37:17
204,rawson,-65.1023,-43.3002,11.98,57,99,6.71,AR,2023-10-15 17:37:18
205,kralendijk,-68.2667,12.15,31.99,70,40,7.2,BQ,2023-10-15 17:33:12
206,la passe,-0.8967,45.5549,13.13,49,100,7.19,FR,2023-10-15 17:37:19
207,san jose,-121.895,37.3394,31.61,42,20,26.82,US,2023-10-15 17:35:25
208,candelaria,121.4233,13.9311,24.12,96,100,2.58,PH,2023-10-15 17:37:20
209,isla del bosque,-105.85,22.7333,30.65,69,29,4.02,MX,2023-10-15 17:37:21
210,mwene-ditu,23.45,-7.0,18.7,88,98,1.23,CD,2023-10-15 17:37:21
211,zouerate,-12.4521,22.7187,30.23,16,55,3.33,MR,2023-10-15 17:37:22
212,griffith,-87.4237,41.5284,14.58,70,75,7.2,US,2023-10-15 17:36:55
213,sakaiminato,133.2333,35.55,13.99,100,75,0.51,JP,2023-10-15 17:37:23
214,buala,159.5921,-8.145,28.22,77,100,1.4,SB,2023-10-15 17:37:23
215,happy valley-goose bay,-60.3315,53.3168,8.17,87,100,4.63,CA,2023-10-15 17:35:20
216,oyo,3.9333,7.85,22.93,96,96,1.93,NG,2023-10-15 17:37:24
217,kayangel,134.7173,8.0823,28.08,77,67,3.47,PW,2023-10-15 17:37:25
218,brisas de zicatela,-97.0419,15.8369,30.29,51,75,1.03,MX,2023-10-15 17:37:26
219,la foa,165.8276,-21.7108,24.82,69,100,3.33,NC,2023-10-15 17:37:26
220,mae sot,98.5667,16.7167,22.01,98,84,0.75,TH,2023-10-15 17:37:26
221,kaoma,24.8,-14.7833,20.51,63,61,1.94,ZM,2023-10-15 17:37:27
222,kuvshinovo,34.1725,57.0295,7.43,75,93,4.07,RU,2023-10-15 17:37:27
223,rongelap,166.8941,11.1635,28.23,76,30,6.12,MH,2023-10-15 17:37:28
224,puerto deseado,-65.8938,-47.7503,8.84,57,5,2.71,AR,2023-10-15 17:37:29
225,gediz,29.41,39.0417,13.06,57,0,0.47,TR,2023-10-15 17:37:30
226,at taj,23.2857,24.2049,21.36,28,2,4.37,LY,2023-10-15 17:37:30
227,port lincoln,135.8667,-34.7333,12.95,65,44,7.57,AU,2023-10-15 17:37:31
228,karratha,116.8463,-20.7377,27.26,43,8,3.89,AU,2023-10-15 17:33:55
229,colonia,6.95,50.9333,8.31,86,0,0.51,DE,2023-10-15 17:33:00
230,salekhard,66.6019,66.53,-0.51,98,100,4.57,RU,2023-10-15 17:37:32
231,puerto aysen,-72.7,-45.4,8.03,95,92,1.56,CL,2023-10-15 17:37:33
232,aykhal,111.5,66.0,-7.18,85,100,2.24,RU,2023-10-15 17:37:33
233,yacimiento rio turbio,-72.3508,-51.5732,3.04,80,41,3.72,AR,2023-10-15 17:37:34
234,port blair,92.75,11.6667,25.02,100,20,0.0,IN,2023-10-15 17:37:34
235,fale old settlement,-171.2468,-9.3852,28.51,73,34,9.74,TK,2023-10-15 17:37:35
236,namsos,11.4957,64.4662,5.03,70,40,5.14,NO,2023-10-15 17:37:35
237,karpinsk,60.0085,59.7654,7.6,92,100,3.94,RU,2023-10-15 17:37:36
238,pisco,-76.2167,-13.7,22.03,68,0,4.12,PE,2023-10-15 17:37:36
239,revda,59.9303,56.801,7.88,85,100,6.16,RU,2023-10-15 17:37:37
240,hawaiian paradise park,-154.9731,19.5933,29.73,75,20,4.63,US,2023-10-15 17:37:37
241,papao,-149.55,-17.75,28.82,79,31,4.75,PF,2023-10-15 17:37:38
242,leua,18.6071,48.2156,9.72,54,33,5.18,SK,2023-10-15 17:37:38
243,vanino,140.2543,49.0869,7.74,80,100,2.18,RU,2023-10-15 17:37:39
244,nar'yan-mar,53.087,67.6713,0.62,87,100,8.94,RU,2023-10-15 17:33:56
245,curvelo,-44.4308,-18.7564,28.19,49,51,5.79,BR,2023-10-15 17:37:40
246,kulunda,78.9385,52.566,4.33,73,18,3.01,RU,2023-10-15 17:37:41
247,gao,1.637,16.6362,31.98,15,81,2.7,ML,2023-10-15 17:37:41
248,ndola,28.6366,-12.9587,26.35,34,97,1.1,ZM,2023-10-15 17:37:42
249,saint-philippe,55.7679,-21.3585,22.77,84,38,2.28,RE,2023-10-15 17:37:42
250,ilulissat,-51.1,69.2167,-6.99,86,100,12.86,GL,2023-10-15 17:37:43
251,lazaro cardenas,-102.2,17.9583,27.29,85,97,1.73,MX,2023-10-15 17:37:43
252,imbituba,-48.6703,-28.24,17.89,92,60,5.42,BR,2023-10-15 17:37:44
253,hadibu,54.0333,12.65,26.5,77,44,1.5,YE,2023-10-15 17:37:44
254,kidal,1.4078,18.4411,30.02,13,54,0.13,ML,2023-10-15 17:37:45
255,miles city,-105.8406,46.4083,17.54,45,0,2.57,US,2023-10-15 17:37:45
256,senahu,-89.8333,15.4,21.08,92,83,0.81,GT,2023-10-15 17:37:46
257,lensk,114.9278,60.7253,2.62,72,100,2.24,RU,2023-10-15 17:37:46
258,kartaly,60.6467,53.0522,9.45,56,77,7.15,RU,2023-10-15 17:37:47
259,deqen,90.7188,29.9618,2.87,66,79,1.53,CN,2023-10-15 17:37:47
260,port augusta,137.7667,-32.5,14.54,72,21,7.42,AU,2023-10-15 17:37:48
261,dickinson,-95.0513,29.4608,23.37,49,0,8.23,US,2023-10-15 17:37:48
262,maneromango,38.7848,-7.1988,21.56,98,27,1.63,TZ,2023-10-15 17:37:49
263,mount pearl,-52.7813,47.5166,12.2,81,75,3.6,CA,2023-10-15 17:37:28
264,las heras,-68.9359,-46.5419,15.26,24,89,5.7,AR,2023-10-15 17:37:50
265,ayr,-4.6339,55.4627,5.73,100,20,2.57,GB,2023-10-15 17:34:34
266,san antonio de pale,5.6325,-1.4014,26.02,82,96,6.6,GQ,2023-10-15 17:37:51
267,tuy hoa,109.3,13.0833,24.34,89,97,1.92,VN,2023-10-15 17:37:52
268,krutinka,71.5113,56.0055,4.56,75,26,5.24,RU,2023-10-15 17:37:52
269,lethem,-59.7968,3.3803,28.43,67,99,1.51,GY,2023-10-15 17:37:53
270,opuwo,13.84,-18.0607,21.33,26,83,2.43,NA,2023-10-15 17:37:53
271,petropavlovsk-kamchatsky,158.6483,53.0452,7.33,88,75,2.24,RU,2023-10-15 17:36:48
272,dawson creek,-120.2362,55.7666,15.8,48,0,6.69,CA,2023-10-15 17:37:54
273,nikolayevsk-on-amure,140.73,53.1406,8.62,94,100,1.32,RU,2023-10-15 17:37:54
274,nemuro,145.575,43.3236,14.54,70,100,5.55,JP,2023-10-15 17:37:55
275,edd,41.6925,13.9297,30.67,53,4,3.77,ER,2023-10-15 17:37:55
276,ust'-ilimsk,102.6619,58.0006,4.69,86,100,2.24,RU,2023-10-15 17:34:38
277,ayorou,0.9174,14.7308,33.31,19,17,4.23,NE,2023-10-15 17:37:56
278,sechura,-80.8222,-5.5569,24.84,62,62,7.38,PE,2023-10-15 17:37:57
279,cromer,1.2989,52.9312,5.08,66,60,4.05,GB,2023-10-15 17:37:57
280,inhambane,35.3833,-23.865,21.03,79,100,3.55,MZ,2023-10-15 17:37:58
281,conde,-34.9075,-7.2597,25.7,73,20,5.66,BR,2023-10-15 17:36:14
282,kiratu,35.6667,-3.3333,19.61,74,98,2.74,TZ,2023-10-15 17:37:59
283,kideksha,40.5167,56.4167,9.82,84,98,3.66,RU,2023-10-15 17:37:59
284,kourou,-52.6478,5.1552,29.03,79,74,5.4,GF,2023-10-15 17:38:00
285,turkmenbasy,52.9552,40.0222,10.43,66,0,2.06,TM,2023-10-15 17:38:00
286,darwin,130.8418,-12.4611,23.99,94,0,0.0,AU,2023-10-15 17:37:03
287,oroqen zizhiqi,123.7167,50.5667,0.53,46,1,4.67,CN,2023-10-15 17:38:01
288,tsiombe,45.4833,-25.3,19.09,85,20,1.53,MG,2023-10-15 17:38:02
289,makungu,35.2833,-8.7333,18.09,96,44,1.01,TZ,2023-10-15 17:38:02
290,vorgashor,63.95,67.5833,-0.94,97,100,5.83,RU,2023-10-15 17:38:03
291,abalak,68.5944,58.1286,3.53,83,96,4.1,RU,2023-10-15 17:38:03
292,porto novo,2.6036,6.4965,27.9,85,100,2.29,BJ,2023-10-15 17:38:04
293,badger,-147.5333,64.8,5.63,89,40,2.06,US,2023-10-15 17:38:04
294,codrington,141.9667,-38.2667,10.48,65,91,10.19,AU,2023-10-15 17:38:05
295,ponta delgada,-25.6667,37.7333,23.4,88,75,11.83,PT,2023-10-15 17:38:05
296,igurubi,33.7,-4.0,27.76,41,61,5.31,TZ,2023-10-15 17:38:06
297,navlya,34.4989,52.8281,8.37,91,100,1.77,RU,2023-10-15 17:38:06
298,arenas de san pedro,-5.0869,40.2104,16.31,82,100,1.0,ES,2023-10-15 17:38:07
299,bel ombre,55.4167,-4.6167,26.97,80,16,7.67,SC,2023-10-15 17:38:07
300,piacabucu,-36.4344,-10.4056,24.09,78,17,5.08,BR,2023-10-15 17:38:08
